"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6","6","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"J1","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~"
"J2","1","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"R1","1","5K","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2,R4","2","10K","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3","1","2K","","","","Resistor_SMD:R_1206_3216Metric","~"
"U1","1","AMS1117-1.8","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2,U3,U6","3","AMS1117-1.5","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U4","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U5","1","AMS1117-5.0","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
